model_scope,model_name,attempted_units,successful_units,failed_units,failure_rate,run_id,run_kind
city,prophet,1,1,0,0.0,621b4307-28a6-486e-9716-02435373d348,backtest
city,arima,1,1,0,0.0,621b4307-28a6-486e-9716-02435373d348,backtest
local,local_prophet,0,0,0,0.0,621b4307-28a6-486e-9716-02435373d348,backtest
local,local_arima,0,0,0,0.0,621b4307-28a6-486e-9716-02435373d348,backtest
