ds,actual,arima,prophet,err_arima,err_prophet
2023-01-02,197.0,36.08055066570982,65.57076460280483,160.91944933429016,131.42923539719516
2023-01-09,83.0,38.040374708008336,74.46423236224577,44.959625291991664,8.535767637754233
2023-01-16,92.0,39.88647744420913,76.2321836373398,52.11352255579087,15.767816362660199
2023-01-23,84.0,41.625457699095165,72.3856056855758,42.374542300904835,11.614394314424203
2023-01-30,106.0,43.26353139216974,68.14066493923025,62.73646860783026,37.85933506076975
2023-02-06,157.0,44.8065537562269,67.2608889612947,112.19344624377311,89.7391110387053
2023-02-13,99.0,46.2600402666608,68.61417472646694,52.7399597333392,30.385825273533058
2023-02-20,74.0,47.629186356325036,67.87508077880491,26.370813643674964,6.124919221195086
2023-02-27,118.0,48.918885986411915,62.3581327758283,69.08111401358809,55.6418672241717
2023-03-06,159.0,50.133749139732636,53.74151163852666,108.86625086026737,105.25848836147334
2023-03-13,84.0,51.27811829892744,46.03020652717841,32.72188170107256,37.96979347282159
2023-03-20,73.0,52.356083968506425,41.45765330787559,20.643916031493575,31.54234669212441
2023-03-27,51.0,53.371499296204085,38.98746434367993,-2.3714992962040853,12.012535656320068
2023-04-03,112.0,54.32799384591088,36.638156273369425,57.67200615408912,75.36184372663058
2023-04-10,44.0,55.22898657141287,34.35802398101241,-11.228986571412868,9.641976018987592
2023-04-17,87.0,56.077698037313375,33.942944320571215,30.922301962686625,53.057055679428785
2023-04-24,88.0,56.87716193082002,36.45237959516061,31.122838069179977,51.54762040483939
2023-05-01,102.0,57.63023590554553,40.653216927855,44.36976409445447,61.346783072145
2023-05-08,59.0,58.33961179608307,44.51415337341331,0.6603882039169306,14.485846626586692
2023-05-15,173.0,59.00782523986771,47.81147562297702,113.99217476013229,125.18852437702299
2023-05-22,193.0,59.63726474071707,52.53632674175789,133.36273525928294,140.46367325824212
2023-05-29,83.0,60.2301802064484,60.60925797309249,22.769819793551598,22.39074202690751
2023-06-05,100.0,60.78869099108937,71.72722927882941,39.21130900891063,28.272770721170588
2023-06-12,176.0,61.31479347042934,83.84228812724939,114.68520652957065,92.15771187275061
2023-06-19,193.0,61.81036817798955,95.3874184991233,131.18963182201045,97.6125815008767
2023-06-26,123.0,62.277186526919394,106.31292806337915,60.722813473080606,16.687071936620853
2023-07-03,96.0,62.716917141846125,116.78497737536736,33.283082858153875,-20.78497737536736
2023-07-10,88.0,63.1311318233108,125.55247080872925,24.868868176689197,-37.552470808729254
2023-07-17,196.0,63.521311166110195,130.3820291231907,132.4786888338898,65.6179708768093
2023-07-24,148.0,63.888849851627185,130.15584580058953,84.11115014837281,17.844154199410468
2023-07-31,250.0,64.2350616330669,125.95650991724955,185.7649383669331,124.04349008275045
2023-08-07,220.0,64.56118403141815,119.72360223862717,155.43881596858185,100.27639776137283
2023-08-14,124.0,64.86838275892559,112.22289980191732,59.13161724107441,11.777100198082678
2023-08-21,160.0,65.15775588588436,102.98123037378448,94.84224411411564,57.018769626215516
2023-08-28,33.0,65.43033776565098,92.24924626249928,-32.430337765650975,-59.249246262499284
2023-09-04,149.0,65.68710273190057,82.26597420213653,83.31289726809943,66.73402579786347
2023-09-11,163.0,65.92896858134588,75.78048332528851,97.07103141865412,87.21951667471149
2023-09-18,154.0,66.15679985436714,73.23880601280071,87.84320014563286,80.76119398719929
2023-09-25,118.0,66.37141092527908,71.98963303163617,51.62858907472092,46.010366968363826
2023-10-02,235.0,66.57356891328133,68.77227125376743,168.42643108671865,166.22772874623257
2023-10-09,108.0,66.76399642449714,63.01676628986685,41.23600357550286,44.98323371013315
2023-10-16,116.0,66.94337413490175,57.49617401736719,49.056625865098255,58.50382598263281
2023-10-23,96.0,67.11234322337307,55.708977114102616,28.887656776626926,40.291022885897384
2023-10-30,134.0,67.27150766356151,58.68750030755667,66.72849233643849,75.31249969244334
2023-11-06,169.0,67.42143638277098,64.13872404357124,101.57856361722902,104.86127595642876
2023-11-13,96.0,67.5626652955682,68.20684321857807,28.437334704431805,27.793156781421928
2023-11-20,99.0,67.69569921938914,67.95893803217801,31.30430078061086,31.04106196782199
2023-11-27,134.0,67.82101367898998,62.923418522073305,66.17898632101002,71.0765814779267
2023-12-04,218.0,67.93905660619244,55.392236391014116,150.06094339380758,162.6077636089859
2023-12-11,110.0,68.05024994099917,49.65152265119154,41.949750059000834,60.34847734880846
2023-12-18,102.0,68.15499113980253,49.96614986531489,33.84500886019747,52.03385013468511
2023-12-25,92.0,68.25365459607745,57.71575114378119,23.746345403922547,34.28424885621881
2024-01-01,149.0,68.3465929786368,69.65744373578195,80.6534070213632,79.34255626421805
2024-01-08,135.0,68.43413849223285,79.53774059068104,66.56586150776715,55.46225940931896
2024-01-15,111.0,68.5166040650106,82.63239745257059,42.4833959349894,28.367602547429414
