run_id,view_mode,queue_type,weeks_to_sum,baseline_weeks,epsilon,ranking_formula_version,model_name,rank,barangay,actual_cases_past_W,past_8w_avg,baseline_expected_W,forecast_cases_next_W,surge_ratio,surge_eligible,baseline_eligible,priority_eligible,baseline_weeks_used,nonzero_weeks_8w,rank_reason
621b4307-28a6-486e-9716-02435373d348,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,1,sasa,4.0,0.75,3.0,18.940287223950747,4.735071805987687,True,True,True,8,5,Surge 4.74x vs baseline; forecast W: 18.94
621b4307-28a6-486e-9716-02435373d348,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,2,talomo,3.0,1.625,6.5,30.194313766626923,4.025908502216923,True,True,True,8,7,Surge 4.03x vs baseline; forecast W: 30.19
621b4307-28a6-486e-9716-02435373d348,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,3,alfonso angliongto sr,0.0,0.5,2.0,10.128623888408555,3.3762079628028516,True,True,True,26,1,Surge 3.38x vs baseline; forecast W: 10.13
621b4307-28a6-486e-9716-02435373d348,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,4,bago aplaya,0.0,0.3076923076923077,1.2307692307692308,6.991863298854133,3.1342835477621973,True,True,True,26,1,Surge 3.13x vs baseline; forecast W: 6.99
621b4307-28a6-486e-9716-02435373d348,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,5,cabantian,3.0,1.0769230769230769,4.3076923076923075,16.593702966116144,3.1263498341957954,True,True,True,26,3,Surge 3.13x vs baseline; forecast W: 16.59
621b4307-28a6-486e-9716-02435373d348,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,6,buhangin,6.0,1.75,7.0,24.040516274142295,3.005064534267787,True,True,True,8,7,Surge 3.01x vs baseline; forecast W: 24.04
621b4307-28a6-486e-9716-02435373d348,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,7,ma a,5.0,1.375,5.5,18.46139247745389,2.840214227300599,True,True,True,8,5,Surge 2.84x vs baseline; forecast W: 18.46
621b4307-28a6-486e-9716-02435373d348,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,8,panacan,3.0,1.0,4.0,13.76822396178468,2.753644792356936,True,True,True,8,4,Surge 2.75x vs baseline; forecast W: 13.77
621b4307-28a6-486e-9716-02435373d348,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,9,pampanga,1.0,0.3076923076923077,1.2307692307692308,6.105908017834945,2.7371311804087686,True,True,True,26,1,Surge 2.74x vs baseline; forecast W: 6.11
621b4307-28a6-486e-9716-02435373d348,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,10,matina aplaya,3.0,0.75,3.0,10.846966008153842,2.7117415020384605,True,True,True,8,4,Surge 2.71x vs baseline; forecast W: 10.85
