barangay,month,weight,cases_in_window,window_start,window_end,alpha_smooth,scheme,run_id
barangay 34 d,,0.0007704819792825957,17.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 35 d,,0.0005992637616642411,13.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 36 d,,0.0011557229689238935,26.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 37 d,,0.0041520417772450986,96.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 38 d,,0.0017121821761835459,39.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 39 d,,0.0018405958393973118,42.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 3 a,,0.0006848728704734184,15.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 40 d,,0.0014981594041606028,34.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 4 a,,0.0011985275233284821,27.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 5 a,,0.008475301772108552,197.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 6 a,,0.0012413320777330708,28.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 7 a,,0.0037239962331992124,86.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 8 a,,0.006377878606283708,148.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
barangay 9 a,,0.0054361784093827584,126.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
bato,,0.004494478212481808,104.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
bayabas,,0.0012413320777330708,28.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
