run_id,view_mode,queue_type,weeks_to_sum,baseline_weeks,epsilon,ranking_formula_version,model_name,rank,barangay,actual_cases_past_W,past_8w_avg,baseline_expected_W,forecast_cases_next_W,surge_ratio,surge_eligible,baseline_eligible,priority_eligible,baseline_weeks_used,nonzero_weeks_8w,rank_reason
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,1,bucana,14.0,2.875,11.5,24.68702418191305,1.974961934553044,True,True,True,8,7,High recent observed burden (past W: 14.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,2,catalunan grande,9.0,1.75,7.0,15.08518451465104,1.88564806433138,True,True,True,8,7,High recent observed burden (past W: 9.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,3,matina crossing,8.0,2.5,10.0,19.85018724229478,1.8045624765722528,True,True,True,8,7,High recent observed burden (past W: 8.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,4,barangay 37 d,7.0,1.25,5.0,2.322639520509763,0.3871065867516272,True,True,True,8,4,High recent observed burden (past W: 7.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,5,daliao,7.0,1.0,4.0,8.69193964891798,1.738387929783596,True,True,True,8,4,High recent observed burden (past W: 7.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,6,toril,7.0,1.25,5.0,8.763773860892508,1.460628976815418,True,True,True,8,5,High recent observed burden (past W: 7.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,7,barangay 19 b,6.0,1.375,5.5,16.210587168918657,2.4939364875259473,True,True,True,8,6,High recent observed burden (past W: 6.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,8,buhangin,6.0,1.75,7.0,24.040516274142295,3.005064534267787,True,True,True,8,7,High recent observed burden (past W: 6.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,9,malagos,6.0,0.8076923076923077,3.230769230769231,2.346584257834606,0.5546471882154523,True,True,True,26,2,High recent observed burden (past W: 6.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,10,tibungco,6.0,0.875,3.5,9.242668607389366,2.053926357197637,True,True,True,8,4,High recent observed burden (past W: 6.00)
