Barangay,TotalCases,NonZeroWeeks,Weeks,Tier,run_id
sirib,41.0,32,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
suawan,44.0,36,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
subasta,35.0,29,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
sumimao,2.0,2,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
tacunan,279.0,165,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
tagakpan,52.0,46,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
tagluno,6.0,6,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
tagurano,17.0,17,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
talandang,15.0,15,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
talomo,1260.0,289,314,A,639d18b1-65e7-4d80-97c2-06c4952b2d83
talomo river,67.0,53,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
tamayong,60.0,50,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
tambobong,29.0,27,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
tamugan,118.0,85,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
tapak,1.0,1,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
tawan tawan,52.0,37,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
tibuloy,52.0,41,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
tibungco,385.0,191,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
tigatto,390.0,176,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
toril,365.0,168,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
tugbok,126.0,91,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
tungakalan,48.0,30,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
ubalde,75.0,65,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
ula,43.0,34,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
vicente hizon sr,30.0,26,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
waan,47.0,38,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
wangan,54.0,46,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
wilfredo aquino,173.0,118,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
wines,24.0,23,314,C,639d18b1-65e7-4d80-97c2-06c4952b2d83
