ds,Forecast,CityForecast
2023-01-02,87.58047431053821,87.58047431053821
2023-01-09,102.54246020622914,102.54246020622914
2023-01-16,107.04894653453792,107.04894653453792
2023-01-23,102.28445269058167,102.28445269058167
2023-01-30,95.96796220970647,95.96796220970647
2023-02-06,94.28788463648114,94.28788463648114
2023-02-13,95.92173508777609,95.92173508777609
2023-02-20,94.4452857038029,94.4452857038029
2023-02-27,86.07300584135442,86.07300584135442
2023-03-06,73.82694318475383,73.82694318475383
2023-03-13,63.776786702826875,63.776786702826875
2023-03-20,58.39685732311855,58.39685732311855
2023-03-27,55.02375570593016,55.02375570593016
2023-04-03,50.613673672178784,50.613673672178784
2023-04-10,46.203838684824696,46.203838684824696
2023-04-17,45.365588129534274,45.365588129534274
2023-04-24,49.0381913816102,49.0381913816102
2023-05-01,53.88474154945777,53.88474154945777
2023-05-08,56.615970374884384,56.615970374884384
2023-05-15,58.75173995902128,58.75173995902128
2023-05-22,65.48123314716257,65.48123314716257
2023-05-29,79.81881324879681,79.81881324879681
2023-06-05,99.39796746669995,99.39796746669995
2023-06-12,119.89744953426244,119.89744953426244
2023-06-19,140.42697636492417,140.42697636492417
2023-06-26,163.506738339745,163.506738339745
2023-07-03,189.35048067881525,189.35048067881525
2023-07-10,212.0513166664429,212.0513166664429
2023-07-17,223.51704998788412,223.51704998788412
2023-07-24,221.2901709690584,221.2901709690584
2023-07-31,210.91327249773443,210.91327249773443
2023-08-07,199.63702421262286,199.63702421262286
2023-08-14,188.8278976375677,188.8278976375677
2023-08-21,174.2451868863617,174.2451868863617
2023-08-28,153.78570831156114,153.78570831156114
2023-09-04,132.9215568872309,132.9215568872309
2023-09-11,120.54951078943598,120.54951078943598
2023-09-18,119.55852415377463,119.55852415377463
2023-09-25,123.11591857326557,123.11591857326557
2023-10-02,121.3410191453772,121.3410191453772
2023-10-09,111.22475555518595,111.22475555518595
2023-10-16,99.22379051256117,99.22379051256117
2023-10-23,94.39927000177148,94.39927000177148
2023-10-30,99.90130079612311,99.90130079612311
2023-11-06,110.97548839870659,110.97548839870659
2023-11-13,119.6507949472049,119.6507949472049
2023-11-20,120.2368959732062,120.2368959732062
2023-11-27,111.63501353212997,111.63501353212997
2023-12-04,97.41594893647353,97.41594893647353
2023-12-11,85.2829424856992,85.2829424856992
2023-12-18,84.50116390627608,84.50116390627608
2023-12-25,99.92998952800473,99.92998952800473
2024-01-01,126.40671798335947,126.40671798335947
2024-01-08,150.31871277962549,150.31871277962549
2024-01-15,159.6214446414653,159.6214446414653
2024-01-22,153.81987563372525,153.81987563372525
2024-01-29,143.4970469751495,143.4970469751495
2024-02-05,139.15830606950257,139.15830606950257
2024-02-12,140.90105265641893,140.90105265641893
2024-02-19,139.805858894514,139.805858894514
2024-02-26,128.90329631841396,128.90329631841396
2024-03-04,111.00788101617925,111.00788101617925
2024-03-11,94.98427037702412,94.98427037702412
2024-03-18,85.82508312490245,85.82508312490245
2024-03-25,80.6180864118448,80.6180864118448
2024-04-01,74.38875312621299,74.38875312621299
2024-04-08,67.47367923546324,67.47367923546324
2024-04-15,64.88631470758048,64.88631470758048
2024-04-22,69.04924970909927,69.04924970909927
2024-04-29,75.97293083995655,75.97293083995655
2024-05-06,80.2989069123224,80.2989069123224
2024-05-13,82.8088344371029,82.8088344371029
2024-05-20,90.48634356892906,90.48634356892906
2024-05-27,108.69496161752437,108.69496161752437
2024-06-03,135.269997713482,135.269997713482
2024-06-10,163.92116095995559,163.92116095995559
2024-06-17,192.21671550727376,192.21671550727376
2024-06-24,223.30304861954667,223.30304861954667
2024-07-01,258.67549178211135,258.67549178211135
2024-07-08,291.5048957888594,291.5048957888594
2024-07-15,310.25821171373235,310.25821171373235
2024-07-22,309.6005680898943,309.6005680898943
2024-07-29,295.7249881329953,295.7249881329953
2024-08-05,279.2607432506895,279.2607432506895
2024-08-12,263.94516502048265,263.94516502048265
2024-08-19,244.67715612339816,244.67715612339816
2024-08-26,217.21263110541483,217.21263110541483
2024-09-02,187.27819829713764,187.27819829713764
2024-09-09,167.18472022505603,167.18472022505603
2024-09-16,163.07458286303608,163.07458286303608
2024-09-23,167.58432525249464,167.58432525249464
2024-09-30,166.85168508181476,166.85168508181476
2024-10-07,154.45827390548897,154.45827390548897
2024-10-14,137.34478942306538,137.34478942306538
2024-10-21,128.16659026500534,128.16659026500534
2024-10-28,133.10427525713206,133.10427525713206
2024-11-04,147.27382099463466,147.27382099463466
2024-11-11,160.02221372059267,160.02221372059267
2024-11-18,162.777567330249,162.777567330249
2024-11-25,152.9631159308081,152.9631159308081
2024-12-02,134.34468634676392,134.34468634676392
2024-12-09,116.42777004201827,116.42777004201827
2024-12-16,111.70445699366002,111.70445699366002
2024-12-23,128.3390302156861,128.3390302156861
2024-12-30,161.94898787757984,161.94898787757984
2025-01-06,195.59932107053925,195.59932107053925
2025-01-13,211.71506779072925,211.71506779072925
2025-01-20,206.5169843836462,206.5169843836462
2025-01-27,192.32418696033076,192.32418696033076
2025-02-03,184.38622201573213,184.38622201573213
2025-02-10,185.65304924813174,185.65304924813174
2025-02-17,185.55747664837477,185.55747664837477
2025-02-24,173.3530480241877,173.3530480241877
2025-03-03,150.40550401134718,150.40550401134718
2025-03-10,127.92130460781246,127.92130460781246
2025-03-17,114.13748571532251,114.13748571532251
2025-03-24,106.79033727880032,106.79033727880032
2025-03-31,98.96530176584857,98.96530176584857
2025-04-07,89.54540156416407,89.54540156416407
2025-04-14,84.58187363140817,84.58187363140817
2025-04-21,88.4857558498866,88.4857558498866
2025-04-28,97.34410732882077,97.34410732882077
2025-05-05,103.6736282636485,103.6736282636485
2025-05-12,106.68291449945055,106.68291449945055
2025-05-19,114.57133223147191,114.57133223147191
2025-05-26,135.46559786361047,135.46559786361047
2025-06-02,168.29559703227244,168.29559703227244
2025-06-09,205.07266735130187,205.07266735130187
2025-06-16,241.21586723068816,241.21586723068816
2025-06-23,279.9410303941076,279.9410303941076
2025-06-30,324.41504901421774,324.41504901421774
2025-07-07,367.8594138662609,367.8594138662609
2025-07-14,395.61163985811766,395.61163985811766
2025-07-21,398.54992197902317,398.54992197902317
2025-07-28,382.29451620749177,382.29451620749177
2025-08-04,360.64812252625876,360.64812252625876
2025-08-11,340.6661808383219,340.6661808383219
2025-08-18,317.23993697042596,317.23993697042596
2025-08-25,283.6343450435554,283.6343450435554
2025-09-01,244.6828536011851,244.6828536011851
2025-09-08,215.61762947936697,215.61762947936697
2025-09-15,206.73991893267797,206.73991893267797
2025-09-22,211.56850113351837,211.56850113351837
2025-09-29,212.66582231052652,212.66582231052652
2025-10-06,199.18771600611316,199.18771600611316
2025-10-13,177.2192708330938,177.2192708330938
2025-10-20,162.68221948148854,162.68221948148854
2025-10-27,165.6444932336045,165.6444932336045
2025-11-03,182.1734420682517,182.1734420682517
2025-11-10,199.3273752491886,199.3273752491886
2025-11-17,205.30979807899448,205.30979807899448
2025-11-24,195.46638080410273,195.46638080410273
2025-12-01,173.1864748742048,173.1864748742048
2025-12-08,149.26025801882525,149.26025801882525
2025-12-15,139.18096996704384,139.18096996704384
2025-12-22,154.95310734437624,154.95310734437624
2025-12-29,194.26321968782037,194.26321968782037
2026-01-05,237.96547667524626,237.96547667524626
2026-01-12,262.76698847283524,262.76698847283524
2026-01-19,260.10681093451774,260.10681093451774
2026-01-26,242.59653650882376,242.59653650882376
2026-02-02,230.23842258564784,230.23842258564784
2026-02-09,230.1891464756727,230.1891464756727
2026-02-16,231.4087987138755,231.4087987138755
2026-02-23,219.12831204141722,219.12831204141722
2026-03-02,192.00515835863413,192.00515835863413
2026-03-09,162.8079190220645,162.8079190220645
2026-03-16,143.51592037338798,143.51592037338798
2026-03-23,133.53380046768913,133.53380046768913
2026-03-30,124.27923492950464,124.27923492950464
2026-04-06,112.50063571026831,112.50063571026831
2026-04-13,104.6696640062534,104.6696640062534
2026-04-20,107.49091413962991,107.49091413962991
2026-04-27,117.94360783185203,117.94360783185203
2026-05-04,126.62907841782062,126.62907841782062
2026-05-11,130.44556497900837,130.44556497900837
2026-05-18,138.02558612676984,138.02558612676984
2026-05-25,160.422599059555,160.422599059555
2026-06-01,198.57219755166267,198.57219755166267
2026-06-08,243.31204347508273,243.31204347508273
2026-06-15,287.45275276479157,287.45275276479157
2026-06-22,333.5609798902009,333.5609798902009
2026-06-29,386.6006908484764,386.6006908484764
2026-07-06,440.8136716025617,440.8136716025617
2026-07-13,479.0244990555789,479.0244990555789
2026-07-20,487.6757783217309,487.6757783217309
2026-07-27,470.48529463101534,470.48529463101534
2026-08-03,443.86668438283647,443.86668438283647
2026-08-10,418.9595867590991,418.9595867590991
2026-08-17,391.7110079761029,391.7110079761029
2026-08-24,352.8813871660866,352.8813871660866
2026-08-31,305.29861066096703,305.29861066096703
2026-09-07,266.29177127233777,266.29177127233777
2026-09-14,250.90940121213643,250.90940121213643
2026-09-21,255.03828082667576,255.03828082667576
2026-09-28,258.46209076159573,258.46209076159573
2026-10-05,245.17602210818671,245.17602210818671
2026-10-12,218.95762006144238,218.95762006144238
2026-10-19,198.31529980744762,198.31529980744762
2026-10-26,197.84410630237917,197.84410630237917
2026-11-02,215.72906363218868,215.72906363218868
2026-11-09,237.3594109301339,237.3594109301339
2026-11-16,247.5104935934534,247.5104935934534
2026-11-23,238.86620712774032,238.86620712774032
2026-11-30,213.85431889320546,213.85431889320546
2026-12-07,184.00083446756742,184.00083446756742
2026-12-14,167.43348229107895,167.43348229107895
2026-12-21,180.2966855359283,180.2966855359283
2026-12-28,223.5255993039177,223.5255993039177
2027-01-04,277.0892964587325,277.0892964587325
2027-01-11,312.1985756699867,312.1985756699867
2027-01-18,314.2201116261266,314.2201116261266
2027-01-25,294.38091008997145,294.38091008997145
2027-02-01,276.99834876053217,276.99834876053217
2027-02-08,274.6031087279457,274.6031087279457
2027-02-15,277.1173119088679,277.1173119088679
2027-02-22,265.89762639880485,265.89762639880485
2027-03-01,235.71646943438233,235.71646943438233
2027-03-08,199.83428349053275,199.83428349053275
2027-03-15,174.17746508143068,174.17746508143068
2027-03-22,160.88202017862463,160.88202017862463
2027-03-29,150.25525616665024,150.25525616665024
2027-04-05,136.37664122448768,136.37664122448768
2027-04-12,125.35356919394195,125.35356919394195
2027-04-19,126.24735665455795,126.24735665455795
2027-04-26,137.75840838943876,137.75840838943876
2027-05-03,149.0401149807784,149.0401149807784
2027-05-10,154.10977883781396,154.10977883781396
2027-05-17,161.10329045223926,161.10329045223926
2027-05-24,183.88483513201993,183.88483513201993
2027-05-31,226.24796619077256,226.24796619077256
2027-06-07,278.61044411688914,278.61044411688914
2027-06-14,330.9240976430297,330.9240976430297
2027-06-21,384.29255960626847,384.29255960626847
2027-06-28,445.320420240877,445.320420240877
2027-07-05,510.1510806364732,510.1510806364732
2027-07-12,559.9718564807656,559.9718564807656
2027-07-19,576.4580237147243,576.4580237147243
2027-07-26,560.0826550991585,560.0826550991585
2027-08-02,528.9679449025009,528.9679449025009
2027-08-09,498.8408714304972,498.8408714304972
2027-08-16,467.897013589477,467.897013589477
2027-08-23,424.73517594325307,424.73517594325307
2027-08-30,369.19915460467195,369.19915460467195
2027-09-06,319.6169309593707,319.6169309593707
2027-09-13,296.00143516038224,296.00143516038224
2027-09-20,298.0611774078033,298.0611774078033
2027-09-27,303.9523762376077,303.9523762376077
2027-10-04,292.1268455086888,292.1268455086888
2027-10-11,262.58372764121606,262.58372764121606
2027-10-18,235.4035753632268,235.4035753632268
2027-10-25,230.06780833917736,230.06780833917736
2027-11-01,248.06654635300714,248.06654635300714
2027-11-08,273.9605599687534,273.9605599687534
2027-11-15,289.06624748306183,289.06624748306183
2027-11-22,282.85715371668795,282.85715371668795
2027-11-29,256.20068390349877,256.20068390349877
2027-12-06,220.79168570102482,220.79168570102482
2027-12-13,196.91716411635144,196.91716411635144
2027-12-20,204.93008008895566,204.93008008895566
2027-12-27,250.02571793567543,250.02571793567543
2028-01-03,312.7501646457816,312.7501646457816
2028-01-10,359.4412856033384,359.4412856033384
2028-01-17,368.39769174979654,368.39769174979654
