Barangay_key,train_weeks,nonzero_weeks,total_cases,eligible_local,eligibility_reason,run_id
bucana,446,398,1657.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
buda,446,40,54.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
buhangin,446,396,1640.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
bunawan,446,246,521.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
cabantian,446,358,1034.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
cadalian,446,67,82.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
calinan,446,290,793.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
callawa,446,50,60.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
camansi,446,15,15.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c633faad-2618-4f7c-a367-7281c4b3d4d6
carmen,446,53,69.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
catalunan grande,446,352,1079.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
catalunan pequeno,446,292,674.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
catigan,446,55,62.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
cawayan,446,46,60.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
centro,446,155,221.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
colosas,446,21,22.0,False,too_few_total_cases,c633faad-2618-4f7c-a367-7281c4b3d4d6
communal,446,212,345.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
crossing bayabas,446,160,255.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
dacudao,446,117,213.0,True,ok,c633faad-2618-4f7c-a367-7281c4b3d4d6
dalag,446,13,14.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c633faad-2618-4f7c-a367-7281c4b3d4d6
