ds,actual,arima,prophet,err_arima,err_prophet
2023-01-02,197.0,36.08513404113602,87.11029616329253,160.91486595886397,109.88970383670747
2023-01-09,83.0,38.04938623845541,101.98580060866547,44.95061376154459,-18.98580060866547
2023-01-16,92.0,39.89976449642676,106.57714747035732,52.10023550357324,-14.577147470357318
2023-01-23,84.0,41.64287044903595,101.95691071991367,42.35712955096405,-17.956910719913665
2023-01-30,106.0,43.284923012576506,95.67398359567555,62.715076987423494,10.326016404324449
2023-02-06,157.0,44.831780573009986,93.90572063601685,112.16821942699002,63.09427936398315
2023-02-13,99.0,46.28896188705451,95.49520355634769,52.71103811294549,3.5047964436523102
2023-02-20,75.0,47.661665771570874,94.13960144463142,27.338334228429126,-19.139601444631424
2023-02-27,119.0,48.95478965149233,85.94758811588243,70.04521034850768,33.052411884117575
2023-03-06,159.0,50.17294703247203,73.71549503538064,108.82705296752798,85.28450496461936
2023-03-13,84.0,51.32048396058558,63.458768048765116,32.67951603941442,20.541231951234884
2023-03-20,74.0,52.40149452781228,57.88490798401199,21.598505472187718,16.11509201598801
2023-03-27,52.0,53.4198354786145,54.61892498313238,-1.4198354786145018,-2.6189249831323806
2023-04-03,112.0,54.37913996972711,50.627974844899256,57.62086003027289,61.372025155100744
2023-04-10,44.0,55.282830532248305,46.63790298036979,-11.282830532248305,-2.6379029803697875
2023-04-17,87.0,56.1341312822768,45.892673605567566,30.865868717723203,41.107326394432434
2023-04-24,88.0,56.936079423659635,49.30329419496953,31.063920576340365,38.69670580503047
2023-05-01,102.0,57.69153608388912,53.78594916111734,44.30846391611088,48.21405083888266
2023-05-08,59.0,58.40319652180843,56.292145986078374,0.5968034781915676,2.707854013921626
2023-05-15,173.0,59.073599743544094,58.362296069519026,113.9264002564559,114.63770393048097
2023-05-22,193.0,59.70513756097228,65.07630806725274,133.29486243902772,127.92369193274726
2023-05-29,83.0,60.300063125037106,79.42063150790871,22.699936874962894,3.579368492091291
2023-06-05,100.0,60.86049896436528,99.10779215964605,39.13950103563472,0.8922078403539473
2023-06-12,177.0,61.38844455785678,119.81799695470743,115.61155544214321,57.182003045292575
2023-06-19,193.0,61.8857834682684,140.47280805800054,131.11421653173159,52.52719194199946
2023-06-26,123.0,62.35429006224076,163.37659149000496,60.64570993775924,-40.376591490004955
2023-07-03,97.0,62.79563584074401,188.76607184616634,34.20436415925599,-91.76607184616634
2023-07-10,88.0,63.21139540252756,211.02508103244134,24.788604597472442,-123.02508103244134
2023-07-17,196.0,63.60305206184953,222.33919995175276,132.39694793815048,-26.33919995175276
2023-07-24,148.0,63.972003140528784,220.2391256452252,84.02799685947122,-72.23912564522519
2023-07-31,251.0,64.3195649531997,210.01741703552216,186.6804350468003,40.98258296447784
