barangay,weight,cases_in_window,window_start,window_end,alpha_smooth,run_id
barangay 3 a,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 40 d,0.0030737704918032786,20.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 4 a,0.0013173302107728337,8.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 5 a,0.009953161592505855,67.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 6 a,0.0013173302107728337,8.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 7 a,0.0038056206088992973,25.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 8 a,0.005415690866510539,36.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
barangay 9 a,0.00468384074941452,31.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
bato,0.006001170960187353,40.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
bayabas,0.001756440281030445,11.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
biao escuela,0.002195550351288056,14.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
biao guianga,0.0014637002341920376,9.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
biao joaquin,0.0027810304449648712,18.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
binugao,0.005122950819672131,34.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
bucana,0.044642857142857144,304.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
buda,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
