run_id,view_mode,queue_type,weeks_to_sum,baseline_weeks,epsilon,ranking_formula_version,model_name,rank,barangay,actual_cases_past_W,past_8w_avg,baseline_expected_W,forecast_cases_next_W,surge_ratio,surge_eligible,baseline_eligible,priority_eligible,baseline_weeks_used,nonzero_weeks_8w,rank_reason
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,1,sasa,4.0,0.75,3.0,23.303657150524998,5.8259142876312495,True,True,True,8,5,Surge 5.83x vs baseline; forecast W: 23.30
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,2,talomo,3.0,1.625,6.5,41.674122043321496,5.556549605776199,True,True,True,8,7,Surge 5.56x vs baseline; forecast W: 41.67
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,3,buhangin,6.0,1.75,7.0,33.8718347068304,4.2339793383538,True,True,True,8,7,Surge 4.23x vs baseline; forecast W: 33.87
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,4,cabantian,3.0,1.0769230769230769,4.3076923076923075,21.363405802297052,4.024989498983503,True,True,True,26,3,Surge 4.02x vs baseline; forecast W: 21.36
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,5,bago aplaya,0.0,0.3076923076923077,1.2307692307692308,8.854976897763708,3.9694724024458,True,True,True,26,1,Surge 3.97x vs baseline; forecast W: 8.85
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,6,panacan,3.0,1.0,4.0,19.5263593130174,3.90527186260348,True,True,True,8,4,Surge 3.91x vs baseline; forecast W: 19.53
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,7,tibungco,6.0,0.875,3.5,17.193929500785934,3.8208732223968744,True,True,True,8,4,Surge 3.82x vs baseline; forecast W: 17.19
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,8,ma a,5.0,1.375,5.5,24.727884204011467,3.8042898775402256,True,True,True,8,5,Surge 3.80x vs baseline; forecast W: 24.73
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,9,alfonso angliongto sr,0.0,0.5,2.0,11.146124766415852,3.715374922138617,True,True,True,26,1,Surge 3.72x vs baseline; forecast W: 11.15
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,10,matina aplaya,3.0,0.75,3.0,14.737653857816518,3.6844134644541295,True,True,True,8,4,Surge 3.68x vs baseline; forecast W: 14.74
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,11,dumoy,0.0,0.3076923076923077,1.2307692307692308,8.215106772284276,3.6826340703343305,True,True,True,26,1,Surge 3.68x vs baseline; forecast W: 8.22
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,12,tacunan,1.0,0.5,2.0,11.022278935677901,3.6740929785593006,True,True,True,26,3,Surge 3.67x vs baseline; forecast W: 11.02
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,13,communal,1.0,0.2692307692307692,1.0769230769230769,7.141776239222009,3.4386330040698567,True,True,True,26,1,Surge 3.44x vs baseline; forecast W: 7.14
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,14,indangan,0.0,0.5769230769230769,2.3076923076923075,11.311252540733125,3.4196810006867593,True,True,True,26,1,Surge 3.42x vs baseline; forecast W: 11.31
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,15,calinan,4.0,1.0,4.0,16.388931600989235,3.2777863201978468,True,True,True,8,6,Surge 3.28x vs baseline; forecast W: 16.39
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,16,pampanga,1.0,0.3076923076923077,1.2307692307692308,7.10049429564269,3.182980201494999,True,True,True,26,1,Surge 3.18x vs baseline; forecast W: 7.10
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,17,mandug,1.0,0.34615384615384615,1.3846153846153846,7.10049429564269,2.977626640108225,True,True,True,26,2,Surge 2.98x vs baseline; forecast W: 7.10
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,18,lizada,0.0,0.5,2.0,8.813694954184388,2.9378983180614626,True,True,True,26,2,Surge 2.94x vs baseline; forecast W: 8.81
3f4b4961-8091-4f2d-9317-f04e914e3769,forecast,prepare_next,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,19,barangay 19 b,6.0,1.375,5.5,18.638797526062064,2.867507311701856,True,True,True,8,6,Surge 2.87x vs baseline; forecast W: 18.64
