run_id,view_mode,queue_type,weeks_to_sum,baseline_weeks,epsilon,ranking_formula_version,model_name,rank,barangay,actual_cases_past_W,past_8w_avg,baseline_expected_W,forecast_cases_next_W,surge_ratio,surge_eligible,baseline_eligible,priority_eligible,baseline_weeks_used,nonzero_weeks_8w,rank_reason
6ec3cbf1-cf64-45cc-8921-07db0e69459e,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,1,bucana,14.0,2.875,11.5,36.55018509092964,2.924014807274371,True,True,True,8,7,High recent observed burden (past W: 14.00)
6ec3cbf1-cf64-45cc-8921-07db0e69459e,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,2,catalunan grande,9.0,1.75,7.0,18.934194243825843,2.3667742804782304,True,True,True,8,7,High recent observed burden (past W: 9.00)
6ec3cbf1-cf64-45cc-8921-07db0e69459e,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,3,matina crossing,8.0,2.5,10.0,23.128477778850552,2.1025888889864137,True,True,True,8,7,High recent observed burden (past W: 8.00)
6ec3cbf1-cf64-45cc-8921-07db0e69459e,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,4,barangay 37 d,7.0,1.25,5.0,4.074446862595434,0.6790744770992391,True,True,True,8,4,High recent observed burden (past W: 7.00)
6ec3cbf1-cf64-45cc-8921-07db0e69459e,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,5,daliao,7.0,1.0,4.0,9.347260449483645,1.869452089896729,True,True,True,8,4,High recent observed burden (past W: 7.00)
6ec3cbf1-cf64-45cc-8921-07db0e69459e,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,6,toril,7.0,1.25,5.0,16.777134140098845,2.7961890233498075,True,True,True,8,5,High recent observed burden (past W: 7.00)
6ec3cbf1-cf64-45cc-8921-07db0e69459e,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,7,barangay 19 b,6.0,1.375,5.5,12.942360622361969,1.9911324034403028,True,True,True,8,6,High recent observed burden (past W: 6.00)
6ec3cbf1-cf64-45cc-8921-07db0e69459e,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,8,buhangin,6.0,1.75,7.0,34.27328831477335,4.284161039346669,True,True,True,8,7,High recent observed burden (past W: 6.00)
6ec3cbf1-cf64-45cc-8921-07db0e69459e,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,9,malagos,6.0,0.8076923076923077,3.230769230769231,8.148893725190868,1.9261021532269325,True,True,True,26,2,High recent observed burden (past W: 6.00)
6ec3cbf1-cf64-45cc-8921-07db0e69459e,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,10,tibungco,6.0,0.875,3.5,21.810274382128497,4.8467276404729995,True,True,True,8,4,High recent observed burden (past W: 6.00)
6ec3cbf1-cf64-45cc-8921-07db0e69459e,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,11,tugbok,6.0,1.0,4.0,12.34317726021558,2.4686354520431157,True,True,True,8,5,High recent observed burden (past W: 6.00)
6ec3cbf1-cf64-45cc-8921-07db0e69459e,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,12,bago gallera,5.0,1.1153846153846154,4.461538461538462,10.066280484059309,1.8431217787714227,True,True,True,26,3,High recent observed burden (past W: 5.00)
