Barangay_key,train_weeks,nonzero_weeks,total_cases,eligible_local,eligibility_reason,run_id
barangay 4 a,446,38,47.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 40 d,446,48,60.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 5 a,446,203,331.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 6 a,446,37,48.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 7 a,446,97,131.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 8 a,446,159,244.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
barangay 9 a,446,139,203.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
bato,446,142,217.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
bayabas,446,44,57.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
biao escuela,446,46,57.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
biao guianga,446,54,63.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
biao joaquin,446,38,57.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
binugao,446,154,231.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
bucana,446,398,1657.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
buda,446,40,54.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
buhangin,446,396,1640.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
bunawan,446,246,521.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
cabantian,446,358,1034.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
cadalian,446,67,82.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
calinan,446,290,793.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
callawa,446,50,60.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
camansi,446,15,15.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
carmen,446,53,69.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
catalunan grande,446,352,1079.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
