name,display_name,geom_json
acacia,Acacia,"{""type"": ""Polygon"", ""coordinates"": [[[125.61945599429873, 7.209500136921804], [125.61322861990493, 7.210545793053939], [125.60593309283797, 7.209915898000361], [125.59730029097568, 7.209043493562433], [125.59319459265635, 7.204888748916687], [125.59295525608024, 7.204647020143909], [125.5914064418539, 7.203574211680575], [125.59102687758843, 7.203966427608577], [125.5894200579894, 7.202928952609113], [125.59062145961275, 7.199817095982269], [125.59012933979727, 7.199560353927268], [125.58963054971014, 7.198980488159066], [125.58807338527856, 7.197888925233769], [125.58791492203613, 7.197851577288532], [125.58655139243285, 7.197530207253294], [125.58505087629692, 7.197176546160733], [125.58441283338561, 7.197204642780093], [125.58309483465894, 7.197897843810495], [125.58271755826877, 7.197963256898845], [125.58227427164036, 7.198040115658841], [125.57769249741091, 7.200211910950998], [125.57713900965769, 7.200162741417444], [125.57687688156295, 7.2003930254178385], [125.57649327574416, 7.200777421740668], [125.5760801298942, 7.199715081385932], [125.57431510605738, 7.198451871156976], [125.5727033491803, 7.196432216873347], [125.57058444391703, 7.197873417324388], [125.56999497968468, 7.196741668193454], [125.56987342911555, 7.19608619372292], [125.56962521982814, 7.194808434261859], [125.56920641274587, 7.194501008215013], [125.56851981273928, 7.195417980355558], [125.56810066121659, 7.194809032311014], [125.56816482604597, 7.194327711554706], [125.56794764067115, 7.193428340045898], [125.56814769575965, 7.193223960117734], [125.5681569299984, 7.192878612358129], [125.56857806812343, 7.193078830223897], [125.56902823906205, 7.192860296765332], [125.5696430506863, 7.1929528172187815], [125.57010386330273, 7.192665142082717], [125.57101715541751, 7.191830925556815], [125.57151306227809, 7.1934140282348835], [125.57226774366154, 7.193039621581306], [125.57302191602867, 7.192917068268116], [125.57384683356463, 7.19215992723889], [125.5744730989544, 7.190695904692291], [125.57496608391773, 7.190641010074614], [125.57666157667052, 7.190118771963796], [125.57795184570114, 7.1899096867826415], [125.57826777034143, 7.188961554931836], [125.57853110262829, 7.188495860795399], [125.5787883590956, 7.188040913557359], [125.57896377455859, 7.187730695115533], [125.57922545299232, 7.187267924675041], [125.57954645340612, 7.187014082034295], [125.58352343895558, 7.19023987467051], [125.58507880834043, 7.19000908525112], [125.58529293422157, 7.189690247706835], [125.5864573970913, 7.188955774989097], [125.58719445176257, 7.186534136341379], [125.58860139164096, 7.1870265772147945], [125.5912900300109, 7.187967608918086], [125.5911239099405, 7.187364241166847], [125.59139402311575, 7.187079101219581], [125.59156847810289, 7.187489763142082], [125.59236874881879, 7.187630633846709], [125.59291243216308, 7.186898323998491], [125.59308154427788, 7.186597380264914], [125.59378649495079, 7.184357538669531], [125.59415919019455, 7.18425983632244], [125.59557626992898, 7.183888341673651], [125.59909157591551, 7.18191132334897], [125.60390691307362, 7.181435975889599], [125.60569978621618, 7.180612617778138], [125.60602426520768, 7.180346125273502], [125.60619761043142, 7.1802037580969795], [125.60706846893481, 7.180948251061011], [125.6076683760947, 7.180724656217933], [125.60788627912859, 7.180505218940766], [125.60828247635527, 7.18055276879528], [125.6083916396625, 7.180136034650332], [125.60865477859522, 7.17913293893406], [125.60929423344214, 7.178772400725734], [125.60992314193948, 7.178982807910302], [125.60993777031194, 7.179337940293749], [125.61113653242512, 7.180808706856396], [125.61306055909756, 7.182063679295425], [125.61331074599423, 7.1831402900923536], [125.61348924703123, 7.183585085783136], [125.61500909229585, 7.184023007056169], [125.61552928175104, 7.183947693331447], [125.6155365455752, 7.184098728173808], [125.61533635378976, 7.184376253561311], [125.61531630520335, 7.184987847411264], [125.61666251656197, 7.185417264695047], [125.61676478656568, 7.185533370768496], [125.6167656409217, 7.187443989448582], [125.61761161878121, 7.18835574012536], [125.61829719625871, 7.190033598072148], [125.61835132015733, 7.192234659102269], [125.61993123204081, 7.193166980871524], [125.62063000257263, 7.194172645051594], [125.61991229681507, 7.194585556178538], [125.61962816500784, 7.194813206964], [125.61972022680709, 7.1953060138615115], [125.61953987856259, 7.1954844321608675], [125.6198350162731, 7.195849003828528], [125.62001964259252, 7.196153515172625], [125.62079732503662, 7.196413215997154], [125.62039731108712, 7.196676035670578], [125.62017409575799, 7.196930673311954], [125.61998331357916, 7.197148311045794], [125.6198466238227, 7.197586780005963], [125.61989218617555, 7.198092227774168], [125.61994487655488, 7.198676752030508], [125.62367863775899, 7.202872693719883], [125.62379810280027, 7.2030069436156055], [125.62308335221496, 7.206721708440114], [125.61952465393972, 7.209431599588697], [125.61945599429873, 7.209500136921804]]]}"
agdao,Agdao,"{""type"": ""Polygon"", ""coordinates"": [[[125.62557129517916, 7.088217385923656], [125.62542771301855, 7.0883845617981365], [125.62505694412278, 7.088079568417413], [125.62391298489638, 7.087125027997672], [125.62406925918901, 7.086572183259705], [125.62265019824815, 7.0854080711256415], [125.6226338152984, 7.085427439824514], [125.62231006116042, 7.0858259069401015], [125.62224191593168, 7.0857690832766025], [125.62110141639732, 7.084759042995472], [125.61981609004056, 7.083749169988266], [125.62015286905967, 7.083331543715815], [125.6205297956136, 7.082874185395383], [125.6208639396192, 7.082482341786715], [125.62124635203759, 7.082028465641201], [125.62195513921836, 7.081180503877192], [125.62242218773383, 7.080653859987706], [125.62252236771315, 7.0807216913530056], [125.6226128943697, 7.080782068237909], [125.62270851208825, 7.080835896259657], [125.62290772541121, 7.080923978558815], [125.62305097662136, 7.080983227693878], [125.6231274576661, 7.08102318097508], [125.62321605977343, 7.081089288340024], [125.62361311585266, 7.081405859592792], [125.62396404840217, 7.08174651199198], [125.62415680099559, 7.081937145782717], [125.62427575791992, 7.082064413342039], [125.62448561741735, 7.082092130447506], [125.6245821443506, 7.082194707120095], [125.62468065968471, 7.082299407991343], [125.62473243725219, 7.08236559539597], [125.6248017587942, 7.082427117117788], [125.62485010185083, 7.082483652998235], [125.62490636433733, 7.082553140914797], [125.62496613328051, 7.082639654796253], [125.6250058770197, 7.082700171975432], [125.62509512124291, 7.0827961296377], [125.62525042696575, 7.082897887027912], [125.62565681261185, 7.083150615408613], [125.62594306771848, 7.083328945574408], [125.62601389472547, 7.083357506243942], [125.62615729792105, 7.083471435958074], [125.6263026418535, 7.0835723992468616], [125.6263306071719, 7.083589166207105], [125.62657580013308, 7.083815509378326], [125.62719610121917, 7.084379503911009], [125.62778823104213, 7.084932846873414], [125.62804907940153, 7.0852704595641285], [125.62789199032318, 7.085466586413872], [125.62778072080368, 7.085606357247627], [125.62758760308543, 7.085850557357389], [125.62613603704858, 7.087559846609679], [125.62557129517916, 7.088217385923656]]]}"
