week_start,yhat,yhat_lower,yhat_upper,model_name,horizon_type,run_id
2025-07-14,157.3497113580715,108.76548332100948,203.10119299618398,prophet,future,c6a47786-9027-4f31-8377-daff13e9f05d
2025-07-21,171.12546142873174,123.74144968025982,219.08185591123777,prophet,future,c6a47786-9027-4f31-8377-daff13e9f05d
2025-07-28,179.8373878860321,133.22959013718932,230.46284020112333,prophet,future,c6a47786-9027-4f31-8377-daff13e9f05d
2025-08-04,178.44949466617533,130.89555158358337,223.95603555152726,prophet,future,c6a47786-9027-4f31-8377-daff13e9f05d
2025-08-11,167.51837258765156,118.00525383722692,217.4925891674854,prophet,future,c6a47786-9027-4f31-8377-daff13e9f05d
2025-08-18,152.34318244228623,101.1449690097514,200.35386742428145,prophet,future,c6a47786-9027-4f31-8377-daff13e9f05d
2025-08-25,138.8177356023742,92.50776482595936,184.87271862991693,prophet,future,c6a47786-9027-4f31-8377-daff13e9f05d
2025-09-01,129.89666924121724,82.44035054040522,178.84223559281952,prophet,future,c6a47786-9027-4f31-8377-daff13e9f05d
2025-09-08,125.03920356813468,72.67360541049061,173.32299452442638,prophet,future,c6a47786-9027-4f31-8377-daff13e9f05d
2025-09-15,121.86908523938827,75.34766734366056,169.72772345456437,prophet,future,c6a47786-9027-4f31-8377-daff13e9f05d
2025-09-22,117.97015312562816,68.72962266475243,163.44635453900594,prophet,future,c6a47786-9027-4f31-8377-daff13e9f05d
2025-09-29,111.82891590342338,64.05119246770325,159.38681993717827,prophet,future,c6a47786-9027-4f31-8377-daff13e9f05d
