run_id,barangay,current_burden,past_8w_avg,forecast_burden,surge_score,method
2cd7614b-e5c7-484d-aa9d-9feb031411e2,acacia,1.0,0.125,1.253703311012007,1.1144029431217841,arima
2cd7614b-e5c7-484d-aa9d-9feb031411e2,acacia,1.0,0.125,1.4533193449524437,1.2918394177355055,prophet
2cd7614b-e5c7-484d-aa9d-9feb031411e2,agdao,1.0,0.75,6.040570498512397,3.4517545705785126,arima
2cd7614b-e5c7-484d-aa9d-9feb031411e2,agdao,1.0,0.75,7.002356843861775,4.001346767921015,prophet
2cd7614b-e5c7-484d-aa9d-9feb031411e2,alambre,0.0,0.125,0.6838381696429129,0.6078561507937004,arima
2cd7614b-e5c7-484d-aa9d-9feb031411e2,alambre,0.0,0.125,0.792719642701333,0.7046396824011849,prophet
2cd7614b-e5c7-484d-aa9d-9feb031411e2,alejandra navarro,1.0,0.75,2.7353526785716515,1.563058673469515,arima
2cd7614b-e5c7-484d-aa9d-9feb031411e2,alejandra navarro,1.0,0.75,3.170878570805332,1.811930611888761,prophet
2cd7614b-e5c7-484d-aa9d-9feb031411e2,alfonso angliongto sr,0.0,0.125,5.5846783854171225,4.96415856481522,arima
2cd7614b-e5c7-484d-aa9d-9feb031411e2,alfonso angliongto sr,0.0,0.125,6.473877082060886,5.754557406276343,prophet
2cd7614b-e5c7-484d-aa9d-9feb031411e2,angalan,0.0,0.25,2.963298735119289,2.3706389880954313,arima
2cd7614b-e5c7-484d-aa9d-9feb031411e2,angalan,0.0,0.25,3.435118451705776,2.7480947613646207,prophet
2cd7614b-e5c7-484d-aa9d-9feb031411e2,atan awe,0.0,0.0,0.9117842261905506,0.9117842261905506,arima
2cd7614b-e5c7-484d-aa9d-9feb031411e2,atan awe,0.0,0.0,1.0569595236017773,1.0569595236017773,prophet
2cd7614b-e5c7-484d-aa9d-9feb031411e2,baganihan,0.0,0.0,1.253703311012007,1.253703311012007,arima
2cd7614b-e5c7-484d-aa9d-9feb031411e2,baganihan,0.0,0.0,1.4533193449524437,1.4533193449524437,prophet
2cd7614b-e5c7-484d-aa9d-9feb031411e2,bago aplaya,0.0,0.125,9.117842261905505,8.104748677249338,arima
2cd7614b-e5c7-484d-aa9d-9feb031411e2,bago aplaya,0.0,0.125,10.569595236017772,9.395195765349131,prophet
2cd7614b-e5c7-484d-aa9d-9feb031411e2,bago gallera,5.0,0.75,16.52608909970373,9.443479485544987,arima
2cd7614b-e5c7-484d-aa9d-9feb031411e2,bago gallera,5.0,0.75,19.157391365282216,10.947080780161267,prophet
2cd7614b-e5c7-484d-aa9d-9feb031411e2,bago oshiro,0.0,0.0,3.305217819940746,3.305217819940746,arima
2cd7614b-e5c7-484d-aa9d-9feb031411e2,bago oshiro,0.0,0.0,3.831478273056443,3.831478273056443,prophet
2cd7614b-e5c7-484d-aa9d-9feb031411e2,baguio,5.0,1.125,6.382489583333854,3.0035245098041665,arima
2cd7614b-e5c7-484d-aa9d-9feb031411e2,baguio,5.0,1.125,7.398716665212441,3.4817490189235016,prophet
2cd7614b-e5c7-484d-aa9d-9feb031411e2,balengaeng,0.0,0.0,0.7978111979167317,0.7978111979167317,arima
2cd7614b-e5c7-484d-aa9d-9feb031411e2,balengaeng,0.0,0.0,0.9248395831515551,0.9248395831515551,prophet
2cd7614b-e5c7-484d-aa9d-9feb031411e2,baliok,1.0,0.25,9.45976134672696,7.567809077381568,arima
