ds,actual,arima,prophet,err_arima,err_prophet
2024-07-15,242.0,192.07304589845316,188.00802815033387,49.92695410154684,53.99197184966613
2024-07-22,266.0,192.07304589845316,195.89344088285196,73.92695410154684,70.10655911714804
2024-07-29,249.0,192.07304589845316,199.92694908621684,56.92695410154684,49.07305091378316
2024-08-05,296.0,192.07304589845316,195.06189248680494,103.92695410154684,100.93810751319506
2024-08-12,330.0,192.07304589845316,181.42613767386172,137.92695410154684,148.57386232613828
2024-08-19,298.0,192.07304589845316,164.92283822129465,105.92695410154684,133.07716177870535
2024-08-26,292.0,192.07304589845316,152.67524583455577,99.92695410154684,139.32475416544423
2024-09-02,268.0,192.07304589845316,147.75304259045376,75.92695410154684,120.24695740954624
2024-09-09,261.0,192.07304589845316,147.88477038204638,68.92695410154684,113.11522961795362
2024-09-16,218.0,192.07304589845316,148.53104874897573,25.92695410154684,69.46895125102427
2024-09-23,183.0,192.07304589845316,146.70473681177492,-9.07304589845316,36.29526318822508
2024-09-30,218.0,192.07304589845316,142.2253161439044,25.92695410154684,75.7746838560956
2024-10-07,169.0,192.07304589845316,136.50939079834214,-23.07304589845316,32.49060920165786
2024-10-14,124.0,192.07304589845316,131.22899946572863,-68.07304589845316,-7.228999465728634
2024-10-21,116.0,192.07304589845316,128.0759581627779,-76.07304589845316,-12.075958162777908
2024-10-28,116.0,192.07304589845316,128.6204522236628,-76.07304589845316,-12.620452223662795
2024-11-04,130.0,192.07304589845316,133.1091528516603,-62.07304589845316,-3.1091528516602978
2024-11-11,128.0,192.07304589845316,139.1272592359666,-64.07304589845316,-11.12725923596659
2024-11-18,147.0,192.07304589845316,142.30698894195186,-45.07304589845316,4.693011058048143
2024-11-25,105.0,192.07304589845316,139.54308667278536,-87.07304589845316,-34.543086672785364
2024-12-02,116.0,192.07304589845316,132.1353220054654,-76.07304589845316,-16.13532200546541
2024-12-09,120.0,192.07304589845316,125.5677048444304,-72.07304589845316,-5.567704844430395
2024-12-16,79.0,192.07304589845316,125.51404321265225,-113.07304589845316,-46.514043212652254
2024-12-23,61.0,192.07304589845316,133.34195517482792,-131.07304589845316,-72.34195517482792
2024-12-30,105.0,192.07304589845316,145.0452592485591,-87.07304589845316,-40.04525924855909
2025-01-06,115.0,192.07304589845316,154.45810291389654,-77.07304589845316,-39.45810291389654
2025-01-13,106.0,192.07304589845316,157.85394099018635,-86.07304589845316,-51.853940990186345
2025-01-20,84.0,192.07304589845316,156.11779789740982,-108.07304589845316,-72.11779789740982
2025-01-27,83.0,192.07304589845316,153.1126788846983,-109.07304589845316,-70.11267888469831
2025-02-03,88.0,192.07304589845316,152.08864986206981,-104.07304589845316,-64.08864986206981
2025-02-10,104.0,192.07304589845316,153.20999242584406,-88.07304589845316,-49.209992425844064
2025-02-17,91.0,192.07304589845316,153.9071826053198,-101.07304589845316,-62.907182605319804
2025-02-24,93.0,192.07304589845316,151.3527309421217,-99.07304589845316,-58.352730942121696
2025-03-03,80.0,192.07304589845316,144.86990478005973,-112.07304589845316,-64.86990478005973
2025-03-10,77.0,192.07304589845316,136.40780054114242,-115.07304589845316,-59.40780054114242
2025-03-17,87.0,192.07304589845316,128.9029174188821,-105.07304589845316,-41.90291741888211
2025-03-24,82.0,192.07304589845316,124.07729486958519,-110.07304589845316,-42.07729486958519
2025-03-31,88.0,192.07304589845316,121.62271464228633,-104.07304589845316,-33.622714642286326
2025-04-07,52.0,192.07304589845316,120.36485872591712,-140.07304589845316,-68.36485872591712
2025-04-14,61.0,192.07304589845316,120.02887427252602,-131.07304589845316,-59.028874272526025
2025-04-21,69.0,192.07304589845316,121.60388570092081,-123.07304589845316,-52.60388570092081
2025-04-28,65.0,192.07304589845316,125.868840020694,-127.07304589845316,-60.868840020693995
2025-05-05,55.0,192.07304589845316,131.87154850338803,-137.07304589845316,-76.87154850338803
2025-05-12,47.0,192.07304589845316,137.4675712190435,-145.07304589845316,-90.46757121904349
2025-05-19,64.0,192.07304589845316,141.72966452914912,-128.07304589845316,-77.72966452914912
2025-05-26,44.0,192.07304589845316,146.54662475812296,-148.07304589845316,-102.54662475812296
2025-06-02,63.0,192.07304589845316,155.13596312621365,-129.07304589845316,-92.13596312621365
2025-06-09,69.0,192.07304589845316,168.5299858357078,-123.07304589845316,-99.5299858357078
2025-06-16,77.0,192.07304589845316,183.76681520102466,-115.07304589845316,-106.76681520102466
2025-06-23,93.0,192.07304589845316,196.16121993120234,-99.07304589845316,-103.16121993120234
2025-06-30,72.0,192.07304589845316,203.6561007075642,-120.07304589845316,-131.6561007075642
2025-07-07,4.0,192.07304589845316,208.62459545987997,-188.07304589845316,-204.62459545987997
