week_start,yhat,yhat_lower,yhat_upper,model_name,horizon_type,run_id
2025-07-14,214.8807901612097,130.07727161994714,300.2988535945234,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-07-21,222.8290648889751,141.07240570873032,303.6685454153995,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-07-28,228.00185455132257,141.4986415683844,309.72029452905844,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-08-04,224.90880897344027,147.06494957386306,306.0281662647256,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-08-11,212.53476561923586,131.15754159871815,289.2522053121955,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-08-18,195.97523084463228,119.6747281608028,284.89148295135607,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-08-25,182.578361792285,99.35528220482263,260.84617723031533,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-09-01,176.38300494787072,92.84280651690645,254.56532959372348,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-09-08,175.93780398108998,100.36517388638714,257.575696367851,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-09-15,176.79153184195283,96.34347199526056,260.5814256335613,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-09-22,175.49356057552552,92.13162549278518,255.94089562293132,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-09-29,171.40679208478417,90.00922800427993,253.36916464428958,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-10-06,165.78752994724624,83.29603910314255,256.1989432488519,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-10-13,160.3082392114,84.32547103158376,246.25971324060535,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-10-20,156.6475287327002,74.55416371829992,241.91584170834815,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-10-27,156.45281677278751,71.05019673299125,234.69914140697134,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-11-03,160.33013238490676,80.52489086078431,238.80453662391147,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-11-10,166.37070467975687,82.81994065251047,246.31807897428004,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-11-17,170.3733678671531,87.36393902935079,252.64033053959557,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-11-24,168.72502815103888,90.58153935667013,252.42018253736614,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-12-01,161.82880708450097,78.6441214238354,254.94783288557278,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-12-08,154.63203269410243,73.87178102336499,237.61119740304392,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-12-15,153.14957305728126,69.38397840956405,233.7819117421178,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-12-22,159.73090630833065,69.02090847304409,238.59952208428206,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2025-12-29,171.19605040053005,82.5698057592177,253.41418853474158,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2026-01-05,181.4119490482758,95.47357519889844,257.84853354355664,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2026-01-12,185.94889799056236,102.93595408101231,264.5393435972886,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2026-01-19,184.88725432687144,98.1438832768856,269.503419001771,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2026-01-26,181.80641334590703,105.48754434053576,265.0506685895164,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2026-02-02,180.315163074458,92.18865462270394,267.0636653068837,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2026-02-09,181.18850801677004,94.0334804559681,257.49031348791823,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
2026-02-16,182.19985202671276,97.57201318420148,268.1419997953038,prophet,future,fcc6965d-6047-40ee-b3ef-35556bc1df59
